"KEY","en","ro","po","ru","en-us"
"First_Name","First name","Prenume","Imię","Имя","First name"
"Last_Name","Last name","Nume de familie","Nazwisko","Фамилия","Last name"
"Email","Email","Email","E-mail","Емайл","Email"
"Phone","Phone","Telefon","Telefon","Телефон","Phone"
"DOB","Birthday","Zi de naștere","Data urodzenia","День рождения","Birthday"
"Name","Name","Nume","Imię","Имя","Name"
"Childs_Info","About","Despre","Informacje o dziecku","О","About"
"My_profile","Profile & Settings","Profil și Setări","Profil i Ustawienia","Профиль и Настройки","Profile & Settings"
"Mother","Mother","Mamă","Mama","Мама","Mother"
"GrandMother","Grandmother","Bunică","Babcia","Бабушка","Grandmother"
"Father","Father","Tată","Tata","Отец","Father"
"GrandFather","Grandfather","Bunic","Dziadek","Дедушка","Grandfather"
"Sister","Sister","Soră","Siostra","Сестра","Sister"
"LifePartner","Life partner","Partener de viață","Partner","Спутник жизни","Life partner"
"Brother","Brother","Frate","Brat","Брат","Brother"
"Aunt","Aunt","Mătușă","Ciocia","Тетя","Aunt"
"Cousin","Cousin","Văr","Kuzyn","Двоюродный брат","Cousin"
"Uncle","Uncle","Unchi","Wujek","Дядя","Uncle"
"niece","Niece","Nepoată","Siostrzenica","Племянница","Niece"
"daughter","Daughter","Fiică","Córka","Дочь","Daughter"
"nephew","Nephew","Nepot","Siostrzeniec","Племянник","Nephew"
"son","Son","Fiu","Syn","Сын","Son"
"SelectRelationDegree","Select role","Selectează rol","Wybierz rolę","Выбери роль","Select role"
"SelectYourFamilyMember","Add family member","Adaugă membru familie","Dodaj członka rodziny","Добавь члена семьи","Add family member"
"Events","Events","Evenimente","Wydarzenia","События","Events"
"Family","Family","Familie","Rodzina","Семья","Family"
"Journal","Moments","Momente","Chwile","Моменты","Moments"
"Message","Message","Mesaj","Wiadomość","Сообщение","Message"
"Attach_document","Add document","Atașează document","Dodaj dokument","Добавь документ","Add document"
"share_text","Set up a free account on this family app:\n\n","Fă-ți un cont gratuit pe această aplicație pentru familie:\n\n","Utwórz darmowe konto w aplikacji dla rodzin:\n\n","Создай бесплатно аккаунт в этом семейном приложении:\n\n","Set up a free account on this family app:\n\n"
"Daughter","Daughter","Fiică","Córka","Дочь","Daughter"
"Son","Son","Fiu","Syn","Сын","Son"
"AddChildren","Child","Copil","Dziecko","Ребенок","Child"
"set_your_password","Set your password","Setează-ți parola","Ustaw hasło","Введи пароль","Create a password"
"reset_your_password","Reset your password","Resetează-ți parola","Resetuj hasło","Сбрось пароль","Reset your password"
"old_password","Old password","Parola veche","Stare hasło","Старый пароль","Old password"
"new_password","New password","Parola nouă","Nowe hasło","Новый пароль","New password"
"repeat_password","Repeat password","Repetă parola","Powtórz hasło","Повтори пароль","Repeat password"
"Remove","Remove","Elimină","Usuń","Удалить","Remove"
"Search","Search","Caută","Szukaj","Поиск","Search"
"Pending","Pending","În așteptare","W oczekiwaniu","В ожидании","Pending"
"has_invited_you_to_his","invited you to their","te-a invitat în","Zaprosił(a) Cię do","пригласил тебя в ","invited you to their"
"notification_commented","added a comment to","a adăugat un comentariu la","skomentował(a)","добавил комментарий к","added a comment to"
"notification_liked","clapped for","a aplaudat","polubił(a)","аплодировал","clapped for"
"to_my_post","your post","postarea ta","Twój post","твоя публикация","your post"
"my_post","your post","postarea ta","Twój post","твоя публикация","your post"
"PhotoJournal","moments","momente","chwile","моменты","moments"
"as_a","as a","ca","jako","как","as a"
"notification_invite_pop_up_title","%s invites you to their family","%s te invită în familia sa","%s zaprasza Cię do swojej rodziny","%s приглашает тебя в свою семью","%s invites you to join their family"
"notification_invite_pop_up_description","Do you accept this invitation?","Accepți această invitație?","Przyjmujesz zaproszenie?","Принимаешь это приглашение?","Do you accept this invitation?"
"Accept","Accept","Accept","Akceptuję","Принять","Accept"
"Decline","Decline","Refuz","Odrzucam","Отказаться","Decline"
"Success","Success","Succes","Sukces","Успех","Success"
"session_expired","Session expired","Sesiunea a expirat","Sesja wygasła","Сессия истекла","Session expired"
"session_expired_login_again","Your session has expired. Please log in again","Sesiunea ta a expirat. Autentifică-te din nou","Twoja sesja wygasła. Zaloguj się ponownie.","Сессия истекла. Пожалуйста, зайди снова","Your session has expired. Please log in again"
"add_to_family","Add to My Family","Adaugă în Familia mea","Dodaj do mojej rodziny","Добавить к моей семье","Add to My Family"
"remove_from_family","Remove from My Family","Elimină din Familia mea","Usuń z mojej rodziny","Удалить из моей семьи","Remove from My Family"
"congratulation","Congratulations","Felicitări","Gratulacje","Поздравления","Congratulations"
"made","added a","a adăugat o","dodał(a)","добавил/-а","added a"
"new_post","new post","postare nouă","nowy post","Новая публикация","new post"
"this_field_required","This field is mandatory","Acest câmp este obligatoriu","To pole jest obowiązkowe","Это поле является обязательным","This field is mandatory"
"invalid_email","Invalid email","Adresa de email este invalidă","Adres e-mail jest niepoprawny","Недопустимый адрес эл. почты","Invalid email"
"pass_dont_match","The passwords don't match","Parolele nu sunt identice","Hasła nie są identyczne","Пароли не совпадают","The passwords don't match"
"pass_minim_8_chars","The password must have at least 8 characters","Parola trebuie să aibă minim 8 caractere","Hasło musi składać się z co najmniej 8 znaków","Пароль должен содержать не менее 8 символов","The password must have at least 8 characters"
"add_child","Child","Copil","Dziecko","Ребенок","Child"
"select_date","Select date","Selectează data","Wybierz datę","Выбери дату","Select date"
"thnx_contact_us","Thank you for your message","Îți mulțumim pentru mesaj","Dziękujemy za Twoją wiadomość","Спасибо за сообщение","Thank you for your message"
"we_will_get_back","We will get back to you shortly. Have a great day!","Vom răspunde în cel mai scurt timp. Zi excelentă!","Odpowiemy jak najszybciej. Dobrego dnia!","Мы скоро к тебе вернемся. Хорошего дня","We will get back to you shortly. Have a great day!"
"comment","Comment","Comentează","Skomentuj","Комментарий","Comment"
"view_all","View all","Vezi tot","Zobacz wszystko","Посмотреть все","View all"
"all_tribes","Community","Comunitate","Społeczność","Группа","Community"
"delete","Delete","Șterge","Usuń","Удалить","Delete"
"post_details","Post details","Detalii postare","Szczegóły postu","Подробности публикации","Post details"
"replies","Replies","Răspunsuri","Odpowiedzi","Ответы","Replies"
"invalid_phone","Invalid phone number","Număr de telefon invalid","Niepoprawny numer telefonu","Неправильный номер телефона","Invalid phone number"
"check_internet_connection","Please check your internet connection","Verifică-ți conexiunea la internet","Sprawdź połączenie internetowe","Проверь интернет-соединение","Please check your internet connection"
"online","Online","Online","Online","В сети","Online"
"add_text_to_post","Your post can't be blank. Please write something.","Postarea nu poate fi goală. Te rog scrie ceva.","Post nie może być pusty. Napisz coś.","Твоя публикация не может быть пустой. Напиши что-нибудь","Your post can't be blank. Please write something."
"reply_to","Reply to: ","Răspunde la:  ","Odpowiedz na:","Ответить:","Reply to: "
"server_error","Server error","Eroare de server","Błąd serwera","Ошибка сервера","Server error"
"email_sent","Please check your inbox for instructions on how to reset your password","Verifică-ți căsuța de email pentru instrucțiunile de resetare a parolei","Sprawdź skrzynkę e-mail i postępuj zgodnie z instrukcją resetowania hasła","Пожалуйста проверь свой почтовый ящик, чтобы узнать как сбросить пароль.","Please check your inbox for instructions on how to reset your password"
"ok","Ok","Ok","OK","ОК","Ok"
"create_my_account","Create account","Creează cont","Utwórz konto","Создать аккаунт","Create account"
"respond_to_my_comment","replied to your comment","ți-a răspuns la comentariu","odpowiedział(a) na Twój komentarz","ответил на твой комментарий","replied to your comment"
"phone_number","Phone","Telefon","Telefon","Телефон","Phone"
"accepted_be_part_family","accepted the invitation to your family","a acceptat invitația în familia ta","przyjmuje Twoje zaproszenie do rodziny","принял/-а приглашение в твою семью","accepted the invitation to join your family"
"press_back_to_leave","Press back again to leave","Apasă din nou înapoi pentru a ieși","Kliknij ponownie, aby opuścić stronę","Нажми еще раз назад, чтобы выйти","Click the back button again to leave"
"you_no_longer_share","You no longer share ","Nu mai partajezi ","Już nie udostępniasz","Ты больше не делишься","You no longer share "
"with_"," with "," cu ","z","с"," with "
"photos_kept_in_you_jounal","for future photos. All the photos shared until now will remain in your Moments section.","pentru fotografiile care vor fi adăugate de acum înainte. Toate fotografiile de până acum rămân în secțiunea Momente.","dla przyszłych zdjęć. Wszystkie zdjęcia udostępnione do tej pory zostaną w sekcji ""Chwile"".","для будущих фото. Все фотографии, которыми ты поделился до сих пор, будут сохранены в Моментах.","for future photos. All the photos shared until now will remain in your Moments section."
"report_post","Report post","Raportează postarea","Zgłoś post","Пожаловаться на публикацию","Report post"
"reported_post_success","You reported this post","Ai raportat această postare","Ten post został przez Ciebie zgłoszony","Ты пожаловался на эту публикацию","You reported this post"
"world","Community","Comunitate","Społeczność","Группа","Community"
"MOMMY","Mum","Mamă","Mama","Мамa","Mom"
"DADDY","Dad","Tată","Tata","Папa","Dad"
"GRANDMA","Grandma","Bunică","Babcia","Бабушкa","Grandma"
"GRANDPA","Grandpa","Bunic","Dziadek","Дедушкa","Grandpa"
"BROTHER","Brother","Frate","Brat","Брат","Brother"
"SISTER","Sister","Soră","Siostra","Сестрa","Sister"
"AUNT","Aunt","Mătușă","Ciocia","Тетя","Aunt"
"UNCLE","Uncle","Unchi","Wujek","Дядя","Uncle"
"GODFATHER","Godfather","Naș","Ojciec chrzestny","Крестный отец","Godfather"
"GODMOTHER","Godmother","Nașă","Matka chrzestna","Крестная мать","Godmother"
"NANNY","Nanny","Bonă","Opiekunka","Нянa","Nanny"
"Friend","Friend","Prieten","Przyjaciel","Друг","Friend"
"step_parent","Step-parent","Părinte bonus","Przybrany rodzic","Неродной родитель","Step-parent"
"foster_parent","Foster-parent","Părinte adoptiv","Rodzic adopcyjny","Приемный родитель","Foster-parent"
"info_reset_pass","Enter your email and we will send you a link to reset your password","Introdu adresa de email și îți vom trimite un link pentru resetarea parolei","Wprowadź swój adres e-mail, aby otrzymać link do zresetowania hasła","Введи свой адрес эл. пoчты, и мы отправим тебе ссылку для сброса пароля","Pleae enter your email and we will send you a link to reset your password"
"baby_boy","Baby boy","Băiețel","Chłopiec","Малыш","Baby boy"
"baby_girl","Baby girl","Fetiță","Dziewczynka","Малышка","Baby girl"
"clap","Clap","Aplaudă","Polubienie","Аплодировать","Clap"
"claps__zero","No claps","Nu sunt aplauze","Brak polubień","Нет аплодисментов","No claps"
"claps__one","1 clap","%s aplauz","1 polubienie","%s аплодисмент","1 clap"
"claps__two","","","","",""
"claps__few","","%s aplauze","%s polubienia","%s аплодисментов",""
"claps__many","","","%s polubień","%s аплодисментов",""
"claps__other","%s claps","%s de aplauze","%s polubienia","%s аплодисменты","%s claps"
"add_title","Add a title","Adaugă un titlu","Dodaj tytuł","Добавить заголовок","Add a title"
"Save","Save","Salvează","Zapisz","Сохранить","Save"
"help","Help","Ajutor","Pomoc","Помощь","Help"
"login","Login","Autentificare","Zaloguj się","Авторизация","Login"
"sign_up","Sign up","Înregistrare","Zarejestruj się","Регистрация","Sign up"
"welcome_to_app","Welcome to Parents","Bine ați venit în Parents","Witaj w aplikacji Parents","Добро пожаловать в Parents","Welcome to Parents"
"share_meaningful_moments","Share meaningful moments with your family, meet like-minded parents, and learn how to be the best mommy and daddy you can be","Împărtășește momentele cele mai importante cu familia, întâlnește părinți cu interese și valori similare și învață cum să devii cel mai bun părinte pentru copilul tău","Dziel się najważniejszymi chwilami ze swoją rodziną, poznaj rodziców o podobnych zainteresowaniach i wartościach oraz dowiedz się, w jaki sposób możesz stać się najlepszym rodzicem dla swojego dziecka ","Делись самыми важными моментами со своей семьей, встречайся с единомышленниками и узнай, как стать лучшим родителем для своего ребенка.","Share meaningful moments with your family, meet like-minded parents, and learn how to be the best mommy and daddy you can be"
"explore_photos_videos","Explore photos and videos from other parents with kids the same age as yours, as well as useful Parenting resources, like the Daily Episode","Descoperă fotografii și video-uri de la alți părinți cu copii de aceeași vârstă cu ai tăi, dar și resurse utile de Parenting, precum Episodul Zilei","Oglądaj zdjęcia i filmy innych rodziców mających dzieci w wieku Twoich i odkrywaj przydatne materiały dotyczące rodzicielstwa, np. Odcinek dnia","Смотри фото и видео других родителей с детьми похожего возраста, и полезные видео о Парентинге, например, Серию дня.","Explore photos and videos from other parents whose kids are the same age as yours, as well as useful Parenting resources, like the Daily Episode"
"share_photos_videos","Share photos and videos with other family members knowing that everything you share is 100% private","Transmite fotografii și video-uri celorlalți membri ai familiei tale, având deplină încredere că tot ceea ce le împărtășești este 100% privat și va fi vizualizat doar de voi și de nimeni altcineva","Przesyłaj zdjęcia i filmy pozostałym członkom rodziny i miej pewność, że wszystko, czym się dzielicie, pozostaje w 100% prywatne i może być oglądane jedynie przez Was","Делись фотографиями и видео с другими членами семьи, зная, что все, чем ты делишься, на 100% конфиденциально.","Share photos and videos with other family members, in full knowledge that everything you share is 100% private"
"a_timeline_of_photos","Meaningful moments starring your kids from birth (or even before) to now","Momente cheie cu tine și copiii tăi în rolurile principale, de la naștere (sau chiar dinainte) și până în prezent","Najważniejsze momenty w życiu Twoim i Twoich dzieci od czasu ich narodzin (a nawet wcześniej) aż do dzisiaj","Важные моменты с главным участием твоих детей с рождения (или даже раньше) до настоящего момента.","Meaningful moments starring your kids from birth (or even before) to now"
"Continue","Continue","Continuă","Kontynuuj","Продолжать","Continue"
"got_it","Got it","Am înțeles","Rozumiem","Понятно","Got it"
"Cool","Cool","Tare","Super","Круто","Cool"
"Start","Start","Start","Start","Начать","Start"
"Nickname","Nickname","Cum îți spune copilul ","Pseudonim","Как тебя называет твой ребенок","Nickname"
"Role","Role","Rol","Rola","
Роль","Role"
"about_you","About you","Despre tine","Informacje o Tobie","О тебе","About you"
"Photo","Photo","Fotografie","Zdjęcie","Фото          ","Photo"
"Child","Child","Copil","Dziecko","Ребенок","Child"
"this_contact_not_have_numbers","This contact doesn't have a phone number","Acest contact nu are număr de telefon","Ten kontakt nie ma numeru telefonu","У этого контакта нет номера телефона","This contact doesn't have a phone number"
"these_are_profile_settings","These are your profile and settings","Aici găsești profilul și setările tale","Tu jest Twój profil i ustawienia","Это твой профиль и настройки","Find your profile and settings here"
"ok_next","Ok, next","Mai departe","Dalej","Дальше","Ok, next"
"these_are_notifications","These are your notifications. If someone invites you to their family, likes or comments on one of your photos or videos, you will see it here","Acestea sunt notificările tale. Dacă cineva te invită în familia sa, aplaudă sau comentează la una dintre fotografiile sau video-urile tale, vei vedea acest lucru aici","Tu są Twoje powiadomienia. Jeśli ktoś zaprosi Cię do rodziny, polubi Twoje zdjęcia i filmy lub doda komentarz, zobaczysz powiadomienia tutaj","Это твои уведомления. Если кто-то пригласит тебя в свою семью, аплодирует или пишет комментарии к одной из твоих фотографий или видео, ты увидишь это здесь.","Here are your notifications. If someone invites you to their family, likes or comments on one of your photos or videos, you will see it here"
"here_you_can_add_photo","Here you can add a new post with photos, videos or just your thoughts","Aici poți adăuga o nouă postare cu fotografii, filmări sau doar gândurile tale","Tutaj możesz dodać nowy post ze zdjęciami, filmami lub swoimi przemyśleniami","Здесь ты можешь добавить новую публикацию с фотографиями, видео или просто своими мыслями"," Add a new post with photos, videos or your thoughts here"
"got_it_next","Got it, next","Am înțeles","Rozumiem","Понятно ","Got it, next"
"that_is_thankyou","That's it, thank you","Asta e tot, mulțumim","To wszystko, dziękujemy","Это все, спасибо","That's it, thank you"
"new_story","New post","Postare nouă","Nowy post","Новая публикация","New post"
"email_confirmed","Thank you for confirming your email address","Îți mulțumim pentru că ți-ai confirmat adresa de email","Dziękujemy za potwierdzenie adresu e-mail","Спасибо за подтверждение своего эл. адреса","Thank you for confirming your email address"
"delete_account","Delete my account","Șterge cont","Usuń konto","Удалить мой аккаунт","Delete my account"
"account_delete_is_sent","Please check your email to confirm deleting your account","Te rugăm să îți verifici adresa de email pentru a confirma ștergerea contului","Sprawdź e-mail, aby potwierdzić usunięcie konta","Пожалуйста, проверь свою электронную почту, чтобы подтвердить удаление твоего аккаунта","Please check your email to confirm deleting your account"
"account_succes_deleted","Your account has been deleted","Contul a fost șters","Konto zostało usunięte","Твой аккаунт удален","Your account has been deleted"
"reset_pass","Reset password","Resetează parola","Resetuj hasło","Сброс пароля","Reset password"
"same_here_you_can_add_photo","Same here. You can add a new photo or video.","Și aici poți adăuga o nouă fotografie sau un nou video","Tutaj możesz dodać nowe zdjęcie lub film","И здесь ты можешь добавить новую фотографию или видео.","Same here. You can add a new photo or video."
"cool_what_else","Cool, what else","Tare, ce altceva","Super, co jeszcze?","Круто, что еще","Cool, what else"
"here_can_see_photos","Here you can see photos and videos from parents with children the same age as yours, as well as a curated list of child appropriate events and experiences you can enjoy with your little ones","Aici poți vedea fotografii și video de la părinți cu copii de aceeași vârstă cu ai tăi, precum și o listă de evenimente atent selecționate potrivite pentru tine și pentru copiii tăi","Tutaj możesz oglądać zdjęcia i filmy innych rodziców mających dzieci w wieku Twoich własnych oraz odkrywać starannie wybrane wydarzenia i doświadczenia, którymi możecie cieszyć się wspólnie z dzieckiem ","Здесь ты можешь увидеть фото и видео родителей с детьми, которые близки по возрасту с твоим ребеноком, а также тщательно подобранный список разного рода мероприятий и опытов для вас и ваших малышей.","Here you can see photos and videos from parents whose kids are the same age as yours, as well as a curated list of child appropriate events and experiences you can enjoy with your little ones"
"ok_got_it_what_else","Ok, got it, what else","Ok, am înțeles","Ok, rozumiem, co jeszcze?","ОК, понятно, что еще","Ok, got it, what else"
"here_youll_see_photos","Here you'll see photos and videos shared only with and by your family","Aici vei vedea fotografii și video împărtășite doar cu și de familia ta","Tutaj zobaczysz zdjęcia i filmy udostępniane tylko Twojej rodzinie oraz przez Twoją rodzinę","Здесь ты увидишь фото и видео, которыми поделились только ты или члены твоей семьи.","Here you'll see photos and videos shared only with and by your family"
"awesome_next","Awesome, next","Tare, mai departe","Świetnie, dalej","Отлично, дальше","Awesome, next"
"this_is_where_you_can_keep_photos","This is where you can keep photos, videos and memories of the most important events in your family's life","Aici poți păstra fotografii și video ale celor mai importante momente din viața familiei tale","Tutaj możesz zachować zdjęcia i filmy dotyczące najważniejszych chwil z życia Twojej rodziny","Здесь ты можешь  хранить фото и видео самых важных событий в жизни твоей семьи.","This is where you can keep photos, videos and memories of the most important events in your family's life"
"and_if_youd_like_learn","And if you'd like to learn how to best deal with the specific challenges of being a parent, and become the best mommy and daddy for your kids, this is where you'll find our complete list of online courses","Și, dacă ți-ar plăcea să înveți cum să tratezi cu succes problemele specifice cu care te vei întâlni ca părinte, și să devii cea mai bună mămică sau tătic pentru copilul tău, aici vei găsi toate cursurile pe care le-am creat special pentru tine","Jeśli chcesz się dowiedzieć, jak radzić sobie z rodzicielskimi wyzwaniami i pragniesz stać się dla swojego dziecka najlepszą mamą lub najlepszym tatą, tutaj znajdziesz wszystkie programy, które zostały stworzone specjalnie dla Ciebie","И если захочешь научиться тому, как лучше всего справляться с конкретными проблемами находясь в роли родителя, и стать лучшим папой или лучшей мамой  для своего ребенка, здесь ты найдешь полный список наших онлайн-курсов.","And if you'd like to learn how to best deal with the specific challenges of being a parent, and become the best mommy and daddy for your kids, this is where you'll find our complete list of online courses"
"app_name","Parents","Parents","Parents","Parents","Parents"
"no_notifications","You have no new notifications","Nu există notificări noi","Brak nowych powiadomień","Нет новых уведомлений","You have no new notifications"
"edit_child","Child","Copil","Dziecko","Ребенок","Child"
"share_a_story","Write a post","Scrie ceva ","Napisz coś","Напиши публикацию","Write a post"
"select_photos","Select photos","Selectează fotografii","Wybierz zdjęcia","Выбрать фото","Select photos"
"choose_video","Select video","Selectează video","Wybierz filmy","Выбрать видео","Select video"
"add","Add","Adaugă","Dodaj","Добавить","Add"
"invite","Invite","Invită","Zaproś","Пригласить","Invite"
"contacts","Contacts","Contacte","Kontakty","Контакты","Contacts"
"child_was_added_succesfully","Your child was added successfully","Copilul tău a fost adăugat cu succes","Twoje dziecko zostało dodane","Твой ребенок успешно добавлен","Your child was added successfully"
"there_is_no_account","Wrong email or password. Please try again","Email sau parolă greșită. Te rugăm să încerci din nou","Nieprawidłowy adres e-mail lub hasło. Spróbuj jeszcze raz.","Неправильный емайл или пароль. Пожалуйста, попробуй еще раз.","Wrong email or password. Please try again"
"this_email_address_is_used","This email address is already registered","Acest email este deja înregistrat","Ten e-mail jest już zarejestrowany","Этот адрес эл. почты уже зарегистрирован","This email address is already registered"
"are_sure_delete_account","Are you sure you want to delete your account?","Sigur vrei să-ți ștergi contul?","Na pewno chcesz usunąć konto?","Ты уверен, что хочешь удалить свой аккаунт?","Are you sure you want to delete your account?"
"enjoying_parents","Enjoying Parents?","Îți place Parents?","Podoba Ci się aplikacja Parents?","Тебе нравится Parents?","Enjoying Parents?"
"tap_star_to_rate","Tap the stars and give us your feedback","Apasă steluțele și oferă-ne feedback-ul tău","Zaznacz gwiazdki i prześlij nam swoją opinię","Нажми на звездочки и поделись своим мнением","Click on the stars and give us your feedback"
"your_feedback","Your feedback","Feedback-ul tău","Twoja opinia","Твой отзыв","Your feedback"
"this_email_not_exists","Please enter a valid email address","Te rugăm să introduci o adresă de email validă","Wprowadź poprawny adres e-mail.","Пожалуйста, введи правильный адрес эл. почты","Please enter a valid email address"
"and"," and "," și ","i","и     "," and "
"send","Send","Trimite","Wyślij","Послать","Send"
"thank_for_feedback","Thank you for your feedback","Îți mulțumim pentru feedback","Dziękujemy za Twoją opinię","Спасибо за отзыв","Thank you for your feedback"
"report_user","Report user","Raportează utilizator","Zgłoś użytkownika","Пожаловаться на пользователя","Report user"
"reported_user_success","You have successfully reported this user","Ai raportat acest utilizator","Zgłosiłaś(-łeś) tego użytkownika","Ты пожаловался на этого пользователя","You have successfully reported this user"
"video_is_precessing","Processing video","Video-ul se procesează","Film jest przetwarzany","Обработка видео","Processing video"
"photo_is_precessing","Processing photos","Fotografiile se procesează","Zdjęcie jest przetwarzane","Обработка фото","Processing photos"
"Retry","Retry","Încearca din nou","Spróbuj ponownie","Попробуй еще раз","Retry"
"added_new_photos_journal","added new photos to your Moments","a adăugat fotografii noi la Momentele voastre","dodał(a) nowe zdjęcia do sekcji ""Chwile""","добавил новые фотографии в твою папку Моменты","added new photos to your Moments"
"make_sure_dont_miss_episode","Make sure you don't miss today's episode:","Ai grijă să nu ratezi episodul de azi:","Zadbaj o to, aby nie przegapić dzisiejszego odcinka","Убедись, что не пропустишь сегодняшнюю серию:","Make sure you don't miss today's episode:"
"your_family_misses_you","Your family misses you. Add a new post to let them know what you've been up to.","Familiei tale îi este dor de tine. Adaugă o nouă postare pentru a le spune ce s-a mai întâmplat.","Rodzina za Tobą tęskni. Dodaj nowy post, żeby dać znać, co u Ciebie słychać.","Твоя семья скучает по тебе. Добавь новую публикацию, чтобы сообщить им, как у тебя дела.","Your family misses you. Add a new post to let them know what you've been up to."
"parents_is_more_fun","Parents is more fun with your family and closest friends. Invite someone you love.","Parents este mai distractiv cu familia ta și cu cei mai apropiați prieteni. Invită pe cineva drag.","Aplikacja Parents jest ciekawsza z rodziną i bliskimi. Zaproś kogoś, kogo kochasz.","Parents веселее с семьей и ближайшими друзьями. Пригласи кого-нибудь из своих близких","Parents is more fun with your family and closest friends. Invite someone you love."
"parents_is_more_fun_with_whole_family","Parents is more fun with the whole family. Don't forget to add your kids.","Parents este mai amuzant cu toată familia. Nu uita să-ți adaugi copiii.","Aplikacja Parents jest ciekawsza z rodziną. Nie zapomnij dodać dzieci.","Parents веселее всей семьей. Не забудь добавить своих детей","Parents is more fun with the whole family. Don't forget to add your kids."
"what_were_you_up","What were you up to this week? Make sure you add your favorite photos to your Moments.","Ce ai mai făcut săptămâna asta? Nu uita să adaugi cele mai frumoase fotografii în jurnal.","Co działo się u Ciebie w tym tygodniu? Nie zapomnij dodać najlepszych zdjęć do sekcji ""Chwile"".","Чем ты занимался на этой неделе? Не забудь добавить любимые фотографии в Моменты","What were you up to this week? Make sure you add your favorite photos to your Moments."
